matrix_size,threads,execution_time,speedup,efficiency
16,0,1.5584760000000002e-06,,
16,1,8.571682222222223e-06,,
16,2,2.116839e-05,0.4049283966434019,0.20246419832170096 
16,4,3.847091e-05,0.2228094480276714,0.05570236200691785 
16,8,4.0107e-05,0.21372035360964975,0.02671504420120622
16,16,5.570611e-05,0.153873286471129,0.009617080404445562
16,32,8.372737e-05,0.10237610738546096,0.003199253355795655
16,64,0.00014364714,0.05967179174066551,0.0009323717459478986
32,0,4.321525e-06,,
32,1,2.889373e-05,,
32,2,6.488264e-05,0.44532297082856065,0.22266148541428032
32,4,5.113651e-05,0.5650313249770076,0.1412578312442519
32,8,7.016267e-05,0.41181058246500596,0.051476322808125745
32,16,7.896175999999999e-05,0.3659205417913684,0.022870033861960525
32,32,0.00010788064,0.2678305393813014,0.00836970435566567
32,64,0.00030095655000000003,0.09600631719096991,0.001500098706108905
64,0,1.2074229999999999e-05,,
64,1,9.551926e-05,,
64,2,7.632936999999999e-05,1.2514089923708267,0.6257044961854134
64,4,0.00012193500000000002,0.7833621191618484,0.1958405297904621
64,8,0.0001328093,0.7192211689994601,0.08990264612493251
64,16,0.0001423803,0.6708741307610674,0.04192963317256671
64,32,0.00012879635,0.7416301781843974,0.023175943068262417
64,64,0.000191746,0.4981551636018483,0.00778367443127888
128,0,3.704858e-05,,
128,1,0.00034979019999999996,,
128,2,0.0002251121,1.5538489490347251,0.7769244745173626
128,4,0.000293405,1.1921753208023038,0.29804383020057595
128,8,0.00027339439999999997,1.2794343995341528,0.1599292999417691
128,16,0.0002005508,1.7441476174615107,0.10900922609134442
128,32,0.0002020449,1.7312498360512933,0.05410155737660292
128,64,0.000634634,0.5511683899696517,0.008612006093275807
256,0,0.0001723793,,
256,1,0.001343862,,
256,2,0.0008206935,1.6374712362166874,0.8187356181083437
256,4,0.0007796339,1.7237090383063125,0.4309272595765781
256,8,0.0005609338000000001,2.395758643889885,0.2994698304862356
256,16,0.0004524587,2.9701318595487276,0.18563324122179548
256,32,0.00042254939999999996,3.1803666032894617,0.09938645635279568
256,64,0.0008294093,1.6202639637631262,0.025316624433798847
512,0,0.0011691919999999999,,
512,1,0.005758368,,
512,2,0.003424074,1.6817300093397514,0.8408650046698757
512,4,0.0026535300000000003,2.1700783484641213,0.5425195871160303
512,8,0.001892174,3.0432550072033546,0.38040687590041933
512,16,0.001427769,4.033123005192016,0.252070187824501
512,32,0.0012693589999999999,4.536437682326277,0.14176367757269615
512,64,0.00132976,4.330381422211527,0.06766220972205511
1024,0,0.004688304,,
1024,1,0.024397,,
1024,2,0.01379435,1.7686226607270366,0.8843113303635183
1024,4,0.01045351,2.333857240295365,0.5834643100738413
1024,8,0.006944213,3.5132850907655047,0.4391606363456881
1024,16,0.005001520000000001,4.877917113197587,0.3048698195748492
1024,32,0.004281067,5.698812936120831,0.17808790425377596
1024,64,0.004197206,5.812676337544547,0.09082306777413354
2048,0,0.05475465,,
2048,1,0.1378366,,
2048,2,0.0717689,1.920561691763424,0.960280845881712
2048,4,0.04850044,2.841965969793264,0.710491492448316
2048,8,0.02958227,4.659432829191269,0.5824291036489087
2048,16,0.019438260000000002,7.090994770108024,0.4431871731317515
2048,32,0.01531846,8.998071607720359,0.2811897377412612
2048,64,0.01407623,9.79215315464439,0.1530023930413186
4096,0,0.249248,,
4096,1,0.580414,,
4096,2,0.3170248,1.830815759524176,0.915407879762088
4096,4,0.20436990000000002,2.840017047520207,0.7100042618800517
4096,8,0.1288377,4.505001253515081,0.5631251566893851
4096,16,0.091504,6.3430451127819545,0.39644031954887216
4096,32,0.06483503,8.952166753065434,0.2797552110332948
4096,64,0.06477846,8.959984538070216,0.13999975840734713
